Date,Open,High,Low,Close,Adj Close,Volume
1988-07-01,247.399002,247.399002,247.399002,247.399002,92.317528,0
1988-07-04,245.218994,245.218994,245.218994,245.218994,91.504036,0
1988-07-05,248.488998,248.488998,248.488998,248.488998,92.724236,0
1988-07-06,248.488998,248.488998,248.488998,248.488998,92.724236,0
1988-07-07,246.309006,246.309006,246.309006,246.309006,91.910774,0
1988-07-08,247.399002,247.399002,247.399002,247.399002,92.317528,0
1988-07-11,247.399002,247.399002,247.399002,247.399002,92.317528,0
1988-07-12,245.218994,245.218994,245.218994,245.218994,91.504036,0
1988-07-13,245.764999,245.764999,245.764999,245.764999,91.707771,0
1988-07-14,245.218994,245.218994,245.218994,245.218994,91.504036,0
1988-07-15,246.309006,246.309006,246.309006,246.309006,91.910774,0
1988-07-18,244.130005,244.130005,244.130005,244.130005,91.097687,0
1988-07-19,243.039001,243.039001,243.039001,243.039001,90.690559,0
1988-07-20,243.039001,243.039001,243.039001,243.039001,90.690559,0
1988-07-21,239.770004,239.770004,239.770004,239.770004,89.470734,0
1988-07-22,237.589996,237.589996,237.589996,237.589996,88.657257,0
1988-07-25,233.231003,233.231003,233.231003,233.231003,87.030693,0
1988-07-26,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-07-27,236.501007,236.501007,236.501007,236.501007,88.250908,0
1988-07-28,235.410995,235.410995,235.410995,235.410995,87.844170,0
1988-07-29,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-01,236.501007,236.501007,236.501007,236.501007,88.250908,0
1988-08-02,235.410995,235.410995,235.410995,235.410995,87.844170,0
1988-08-03,237.589996,237.589996,237.589996,237.589996,88.657257,0
1988-08-04,237.589996,237.589996,237.589996,237.589996,88.657257,0
1988-08-05,239.770004,239.770004,239.770004,239.770004,89.470734,0
1988-08-08,239.770004,239.770004,239.770004,239.770004,89.470734,0
1988-08-09,236.501007,236.501007,236.501007,236.501007,88.250908,0
1988-08-10,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-11,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-12,235.410995,235.410995,235.410995,235.410995,87.844170,0
1988-08-15,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-16,235.410995,235.410995,235.410995,235.410995,87.844170,0
1988-08-17,236.501007,236.501007,236.501007,236.501007,88.250908,0
1988-08-18,236.501007,236.501007,236.501007,236.501007,88.250908,0
1988-08-19,237.589996,237.589996,237.589996,237.589996,88.657257,0
1988-08-22,235.955002,235.955002,235.955002,235.955002,88.047157,0
1988-08-23,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-24,234.320999,234.320999,234.320999,234.320999,87.437424,0
1988-08-25,232.141006,232.141006,232.141006,232.141006,86.623970,0
1988-08-26,229.962006,229.962006,229.962006,229.962006,85.810852,0
1988-08-29,229.962006,229.962006,229.962006,229.962006,85.810852,0
1988-08-30,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-08-31,226.692001,226.692001,226.692001,226.692001,84.590645,0
1988-09-01,224.511993,224.511993,224.511993,224.511993,83.777168,0
1988-09-02,226.147003,226.147003,226.147003,226.147003,84.387291,0
1988-09-05,227.235992,227.235992,227.235992,227.235992,84.793648,0
1988-09-06,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-09-07,226.692001,226.692001,226.692001,226.692001,84.590645,0
1988-09-08,225.602005,225.602005,225.602005,225.602005,84.183937,0
1988-09-09,225.056000,225.056000,225.056000,225.056000,83.980179,0
1988-09-12,224.511993,224.511993,224.511993,224.511993,83.777168,0
1988-09-13,224.511993,224.511993,224.511993,224.511993,83.777168,0
1988-09-14,222.332001,222.332001,222.332001,222.332001,82.963707,0
1988-09-15,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-09-16,218.518005,218.518005,218.518005,218.518005,81.540520,0
1988-09-19,219.608002,219.608002,219.608002,219.608002,81.947227,0
1988-09-20,219.608002,219.608002,219.608002,219.608002,81.947227,0
1988-09-21,221.242996,221.242996,221.242996,221.242996,82.557312,0
1988-09-22,217.973007,217.973007,217.973007,217.973007,81.337158,0
1988-09-23,218.518005,218.518005,218.518005,218.518005,81.540520,0
1988-09-26,216.882996,216.882996,216.882996,216.882996,80.930382,0
1988-09-27,217.427994,217.427994,217.427994,217.427994,81.133751,0
1988-09-28,215.792999,215.792999,215.792999,215.792999,80.523666,0
1988-09-29,213.067993,213.067993,213.067993,213.067993,79.506821,0
1988-09-30,211.432999,211.432999,211.432999,211.432999,78.896721,0
1988-10-03,210.343994,210.343994,210.343994,210.343994,78.490334,0
1988-10-04,211.432999,211.432999,211.432999,211.432999,78.896721,0
1988-10-05,212.524002,212.524002,212.524002,212.524002,79.303818,0
1988-10-06,215.792999,215.792999,215.792999,215.792999,80.523666,0
1988-10-07,218.518005,218.518005,218.518005,218.518005,81.540520,0
1988-10-10,219.063004,219.063004,219.063004,219.063004,81.743851,0
1988-10-11,219.063004,219.063004,219.063004,219.063004,81.743851,0
1988-10-12,215.792999,215.792999,215.792999,215.792999,80.523666,0
1988-10-13,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-10-14,222.876999,222.876999,222.876999,222.876999,83.167084,0
1988-10-17,229.962006,229.962006,229.962006,229.962006,85.810852,0
1988-10-18,227.781998,227.781998,227.781998,227.781998,84.997391,0
1988-10-19,225.602005,225.602005,225.602005,225.602005,84.183937,0
1988-10-20,223.966995,223.966995,223.966995,223.966995,83.573792,0
1988-10-21,223.421997,223.421997,223.421997,223.421997,83.370422,0
1988-10-24,222.332001,222.332001,222.332001,222.332001,82.963707,0
1988-10-25,221.242996,221.242996,221.242996,221.242996,82.557312,0
1988-10-26,225.056000,225.056000,225.056000,225.056000,83.980179,0
1988-10-27,229.962006,229.962006,229.962006,229.962006,85.810852,0
1988-10-28,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-10-31,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-11-01,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-11-02,225.056000,225.056000,225.056000,225.056000,83.980179,0
1988-11-03,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-11-04,216.882996,216.882996,216.882996,216.882996,80.930382,0
1988-11-07,217.973007,217.973007,217.973007,217.973007,81.337158,0
1988-11-08,222.876999,222.876999,222.876999,222.876999,83.167084,0
1988-11-09,219.063004,219.063004,219.063004,219.063004,81.743851,0
1988-11-10,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-11-11,215.792999,215.792999,215.792999,215.792999,80.523666,0
1988-11-14,214.703995,214.703995,214.703995,214.703995,80.117294,0
1988-11-15,217.973007,217.973007,217.973007,217.973007,81.337158,0
1988-11-16,216.882996,216.882996,216.882996,216.882996,80.930382,0
1988-11-17,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-11-18,221.242996,221.242996,221.242996,221.242996,82.557312,0
1988-11-21,223.421997,223.421997,223.421997,223.421997,83.370422,0
1988-11-22,225.056000,225.056000,225.056000,225.056000,83.980179,0
1988-11-23,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-11-24,228.871002,228.871002,228.871002,228.871002,85.403755,0
1988-11-25,223.421997,223.421997,223.421997,223.421997,83.370422,0
1988-11-28,221.787003,221.787003,221.787003,221.787003,82.760345,0
1988-11-29,221.242996,221.242996,221.242996,221.242996,82.557312,0
1988-11-30,220.151993,220.151993,220.151993,220.151993,82.150230,0
1988-12-01,216.882996,216.882996,216.882996,216.882996,80.930382,0
1988-12-02,214.158997,214.158997,214.158997,214.158997,79.913925,0
1988-12-05,210.343994,210.343994,210.343994,210.343994,78.490334,0
1988-12-06,212.524002,212.524002,212.524002,212.524002,79.303818,0
1988-12-07,212.524002,212.524002,212.524002,212.524002,79.303818,0
1988-12-08,208.164001,208.164001,208.164001,208.164001,77.676880,0
1988-12-09,207.074005,207.074005,207.074005,207.074005,77.270149,0
1988-12-12,208.709000,208.709000,208.709000,208.709000,77.880264,0
1988-12-13,207.619003,207.619003,207.619003,207.619003,77.473488,0
1988-12-14,206.529007,206.529007,206.529007,206.529007,77.066788,0
1988-12-15,205.983994,205.983994,205.983994,205.983994,76.863411,0
1988-12-16,209.253006,209.253006,209.253006,209.253006,78.083237,0
1988-12-19,210.343994,210.343994,210.343994,210.343994,78.490334,0
1988-12-20,213.613007,213.613007,213.613007,213.613007,79.710205,0
1988-12-21,213.613007,213.613007,213.613007,213.613007,79.710205,0
1988-12-22,213.067993,213.067993,213.067993,213.067993,79.506821,0
1988-12-23,213.613007,213.613007,213.613007,213.613007,79.710205,0
1988-12-26,213.613007,213.613007,213.613007,213.613007,79.710205,0
