Date,Open,High,Low,Close,Adj Close,Volume
1988-09-14,196.897003,196.897003,196.897003,196.897003,74.960175,0
1988-09-15,196.274002,196.274002,196.274002,196.274002,74.723000,0
1988-09-16,196.897003,196.897003,196.897003,196.897003,74.960175,0
1988-09-19,195.649994,195.649994,195.649994,195.649994,74.485451,0
1988-09-20,199.389999,199.389999,199.389999,199.389999,75.909271,0
1988-09-21,201.880997,201.880997,201.880997,201.880997,76.857613,0
1988-09-22,201.257996,201.257996,201.257996,201.257996,76.620399,0
1988-09-23,201.880997,201.880997,201.880997,201.880997,76.857613,0
1988-09-26,203.128006,203.128006,203.128006,203.128006,77.332359,0
1988-09-27,201.880997,201.880997,201.880997,201.880997,76.857613,0
1988-09-28,201.880997,201.880997,201.880997,201.880997,76.857613,0
1988-09-29,204.373993,204.373993,204.373993,204.373993,77.806740,0
1988-09-30,204.996994,204.996994,204.996994,204.996994,78.043892,0
1988-10-03,203.128006,203.128006,203.128006,203.128006,77.332359,0
1988-10-04,208.112000,208.112000,208.112000,208.112000,79.229820,0
1988-10-05,214.343002,214.343002,214.343002,214.343002,81.601990,0
1988-10-06,214.343002,214.343002,214.343002,214.343002,81.601990,0
1988-10-07,213.720001,213.720001,213.720001,213.720001,81.364815,0
1988-10-10,211.227997,211.227997,211.227997,211.227997,80.416115,0
1988-10-11,210.604996,210.604996,210.604996,210.604996,80.178932,0
1988-10-12,207.488998,207.488998,207.488998,207.488998,78.992645,0
1988-10-13,209.358994,209.358994,209.358994,209.358994,79.704536,0
1988-10-14,206.865997,206.865997,206.865997,206.865997,78.755455,0
1988-10-17,206.865997,206.865997,206.865997,206.865997,78.755455,0
1988-10-18,206.244003,206.244003,206.244003,206.244003,78.518639,0
1988-10-19,206.865997,206.865997,206.865997,206.865997,78.755455,0
1988-10-20,213.097000,213.097000,213.097000,213.097000,81.127647,0
1988-10-21,211.852005,211.852005,211.852005,211.852005,80.653679,0
1988-10-24,210.604996,210.604996,210.604996,210.604996,80.178932,0
1988-10-25,211.852005,211.852005,211.852005,211.852005,80.653679,0
1988-10-26,211.852005,211.852005,211.852005,211.852005,80.653679,0
1988-10-27,213.097000,213.097000,213.097000,213.097000,81.127647,0
1988-10-28,212.475006,212.475006,212.475006,212.475006,80.890846,0
1988-10-31,212.475006,212.475006,212.475006,212.475006,80.890846,0
1988-11-01,215.589996,215.589996,215.589996,215.589996,82.076744,0
1988-11-02,203.128006,203.128006,203.128006,203.128006,77.332359,0
1988-11-03,200.634995,200.634995,200.634995,200.634995,76.383247,0
1988-11-04,198.143005,198.143005,198.143005,198.143005,75.434547,0
1988-11-07,196.897003,196.897003,196.897003,196.897003,74.960175,0
1988-11-08,198.143005,198.143005,198.143005,198.143005,75.434547,0
1988-11-09,196.897003,196.897003,196.897003,196.897003,74.960175,0
1988-11-10,196.897003,196.897003,196.897003,196.897003,74.960175,0
1988-11-11,194.404999,194.404999,194.404999,194.404999,74.011452,0
1988-11-14,190.666000,190.666000,190.666000,190.666000,72.587982,0
1988-11-15,191.912003,191.912003,191.912003,191.912003,73.062355,0
1988-11-16,191.912003,191.912003,191.912003,191.912003,73.062355,0
1988-11-17,191.912003,191.912003,191.912003,191.912003,73.062355,0
1988-11-18,190.042999,190.042999,190.042999,190.042999,72.350800,0
1988-11-21,188.796005,188.796005,188.796005,188.796005,71.876076,0
1988-11-22,191.289001,191.289001,191.289001,191.289001,72.825188,0
1988-11-23,192.535004,192.535004,192.535004,192.535004,73.299530,0
1988-11-24,191.912003,191.912003,191.912003,191.912003,73.062355,0
1988-11-25,187.550995,187.550995,187.550995,187.550995,71.402061,0
1988-11-28,185.681000,185.681000,185.681000,185.681000,70.690155,0
1988-11-29,186.304993,186.304993,186.304993,186.304993,70.927704,0
1988-11-30,186.927994,186.927994,186.927994,186.927994,71.164909,0
1988-12-01,179.449997,179.449997,179.449997,179.449997,68.317963,0
1988-12-02,178.203995,178.203995,178.203995,178.203995,67.843590,0
1988-12-05,178.203995,178.203995,178.203995,178.203995,67.843590,0
1988-12-06,178.826996,178.826996,178.826996,178.826996,68.080772,0
1988-12-07,175.712006,175.712006,175.712006,175.712006,66.894875,0
1988-12-08,178.203995,178.203995,178.203995,178.203995,67.843590,0
